                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                *    *
                                                                 *  *                                                ******   
                                                                 *  *                                                hhhhhh   
                                                                 *  *                                                hhhhhh
                                                                 *  *                                                hhhhhh 
                                                                 *  *                                                ******
                                                                 *  *                                                ******
                                                                 ****                                                                                                                    c
                                                                         ***************************   **************************************************************************************
                  ***********                               **************                         *   *
*******************         *    ***********            *****                                      *   *
                            *    *         **************                                          *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
                            *    *                                                                 *   *
